category	key	label_ko	summary
Domain	entry	엔트리	파일 시스템 상 사용자가 관리·실행·참조할 수 있는 파일과 폴더를 포함한 모든 대상
Domain	property	프로퍼티	엔트리에 연결된 메타데이터 단위. 시스템 메타데이터, 사용자가 추가한 속성, 파일·폴더 내용에서 추출된 정보를 모두 포함
Domain	directory	디렉토리	파일 시스템 계층 구조에서 엔트리를 포함하는 물리적 경로 단위
Domain	collection	콜렉션	조건·선택·수동 추가로 구성되는 논리적 엔트리 묶음으로, 재사용 가능한 작업 단위이자 나중에 다시 찾아보기 위한 보존 단위
Domain	page	페이지	콘텐트 패인에 표시되는 화면 단위로, 디렉토리·콜렉션·챗 등 특정 소스와 보기 설정을 묶어 콘텐트 탭 내 네비게이션 히스토리를 구성하는 단위
Domain	storage	스토리지	OS의 파일 시스템 공간 단위로, 로컬 디스크·외장 디스크·네트워크 드라이브·클라우드 동기화 폴더 등 엔트리를 보관하고 노출하는 물리·논리 저장소
Domain	provider	프로바이더	AI 기능에서 연결과 모델 선택의 기준이 되는 외부 서비스 제공 주체
Conversation	chat	챗	엔트리와 작업 범위를 중심으로 자연어 메시지와 의도·요청·응답이 축적되는 대화 단위
Conversation	chat_session	챗 세션	여러 턴을 묶어 대화의 연속성과 복원 범위를 유지하는 세션 단위
Conversation	message	메시지	대화에서 오가는 한 번의 발화 단위로, 텍스트나 구조화된 정보, 실행 결과 요약 등으로 표현되는 내용
Conversation	request	요청	사용자 메시지를 실행 가능한 단위로 확정한 요청 객체로, 처리 상태·재생성·취소의 기준이 되는 대화 요청 단위
Conversation	request_message	요청 메시지	사용자가 Chat Field에 입력해 현재 요청 내용으로 제출하는 메시지 본문 단위
Conversation	response	응답	메시지 타입 중 시스템이 보낸 것으로, 검색 결과·요약·제안된 액션·실행 계획·결과 등을 전달하는 메시지
Conversation	turn	턴	한 번의 사용자 요청과 그에 연결된 응답을 함께 다루는 대화 진행 단위
Conversation	turn_history	턴 이력	이전 턴들을 시간순으로 묶어 현재 대화의 연속성 유지, 복원, 후속 요청 해석에 참조하는 이력 범위
Conversation	attachment	첨부 대상	사용자가 현재 요청에 명시적으로 포함해 응답의 근거와 맥락으로 함께 다루는 참조 대상
Conversation	intent	의도	사용자 요청 메시지에서 해석한 상위 목적으로, 검색·정돈·질의 등 이후 처리 방식을 결정하는 추상 작업 유형
Conversation	retrieve	검색	엔트리를 이름·내용·프로퍼티 조건 등에 따라 찾아서 모아 보여달라는 검색 목적의 요청에 해당하는 의도 타입
Conversation	organize	정돈	엔트리를 이동·이름 변경·태그 부여·컬렉션 구성 등으로 정리·구조화하려는 요청에 해당하는 의도 타입
Conversation	ask	질의	파일·작업 범위·컨텍스트에 대한 설명·분석·조언·요약 등을 물어보는 요청에 해당하는 의도 타입
State	active_model	활성 모델	현재 대화에서 다음 요청부터 적용될 모델이 확정된 상태를 나타내는 선택 결과 단위
State	active_provider	활성 프로바이더	현재 대화의 활성 모델에 따라 요청 실행에 함께 적용되는 프로바이더 상태 단위
State	selection	셀렉션	현재 사용자가 직접 선택한 엔트리 집합으로, 마우스·키보드로 선택한 항목이나 작업 범위 내에서 특별히 지정한 하위 집합
State	history	내역	엔트리·컬렉션·작업 범위·액션 실행 등에 대해 시간 순으로 기록되어 나중에 변화 과정을 검토하거나 되돌리기 위해 참조하는 변경 이력 정보
State	context	컨텍스트	현재 페이지·셀렉션·첨부 대상·현재 요청 메시지·이전 턴 이력·시스템 상태 등 요청 해석과 응답 생성에 사용되는 주변 정보 묶음
State	context_entry	컨텍스트 항목	현재 맥락을 이루는 개별 참조 항목으로 자동으로 준비된 항목과 명시적으로 추가한 첨부를 함께 포함하는 단위
State	context_snapshot	컨텍스트 스냅샷	요청 전송 직전에 고정되어 이후 변경과 분리해 참조하는 컨텍스트 표현
State	model_catalog	모델 카탈로그	현재 대화에서 선택 가능한 모델 후보와 각 후보의 가용성 정보를 함께 보여주는 목록 단위
State	provider_catalog	프로바이더 카탈로그	현재 빌드에서 연결 가능한 프로바이더 후보와 각 후보의 연결 상태를 함께 보여주는 목록 단위
State	request_context	요청 컨텍스트	현재 요청에 반영될 자동 맥락과 사용자가 명시적으로 추가한 첨부를 함께 관리하는 컨텍스트 단위
Operation	action	액션	앱에서 실행 가능한 동작을 표현하는 상위 개념으로, 단일 엔트리 액션부터 여러 엔트리 액션과 조건을 조합한 재사용 가능한 작업 흐름까지를 포괄하는 실행 단위
Operation	entry_action	엔트리 액션	선택된 엔트리에 직접 적용되는 원자적 동작. 열기, 이동, 삭제, 이름 변경, 태그 변경 등 개별 엔트리 수준의 기본 관리 행동
Operation	command	커맨드	단축키·메뉴·커맨드 팔레트 등으로 실행되며 엔트리 액션이나 액션을 트리거하거나 앱 전역 상태를 변경하는 명령 단위
Operation	execution	실행	액션 또는 엔트리 액션이 실제로 한 번 수행되는 실행 컨텍스트로, 대상 엔트리 집합·실행 전 미리보기·진행 상태·결과·되돌리기 정보를 포함하는 단위
Rule	scope	스코프	필터를 적용할 대상 엔트리 집합의 범위로, 하나 이상의 디렉토리·콜렉션·작업 범위 등으로 구성되는 영역
Rule	condition	컨디션	프로퍼티 값에 기반해 엔트리 포함 여부를 판정하는 단일 조건
Rule	filter	필터	특정 스코프 안에서 하나 이상의 컨디션을 조합해 페이지·콜렉션·작업 범위에 포함할 엔트리를 결정하는 규칙 단위
