feature_category	category_key	feature_title	feature_id	release_phase	status	description	related_ui	objects
File Manager Window	FMW	Control File Manager Window	FMW-001	CBT-W1	개발 완료	파일 관리자 창을 열기·전환·닫기 및 표시 상태를 제어해 워크스페이스의 기본 작업 창을 관리하는 것과 관련된 기능	file_manager_window	TBD
File Manager Window	FMW	Manage File Manager Window Panes	FMW-002	CBT-W1	개발 중	파일 관리자 창 내 Pane의 구성을 조정해 작업 영역 레이아웃을 관리하는 것과 관련된 기능	file_manager_window	TBD
Content Tab Management	CTM	Handle Content Tab	CTM-001	CBT-NEXT	기획 완료	Content Tab의 기본 수명 주기와 구성을 제어하고, Content Tab을 관리하는 것과 관련된 기능	file_manager_window.sidebar.sidebar_body.content_tabs_area	TBD
Content Tab Management	CTM	Set Current Content Tab	CTM-002	CBT-NEXT	기획 완료	현재 활성화할 Content Tab을 지정하고 포커스를 전환하는 등 현재 작업 탭을 설정하는 것과 관련된 기능	file_manager_window.sidebar.sidebar_body.content_tabs_area	TBD
Content Tab Management	CTM	Manage Pinned Content Tabs	CTM-003	CBT-NEXT	기획 완료	자주 사용하는 Content Tab을 고정·해제하는 등 고정 탭의 구성 관리와 관련된 기능	file_manager_window.sidebar.sidebar_body.content_tabs_area	TBD
Content Tab Management	CTM	Switch Content Tab with Used Content Tabs Switcher	CTM-004	OBT	기획 완료	최근 사용한 Content Tab 목록을 Switcher로 불러와 키보드 중심으로 탐색·선택해 Content Tab을 전환하는 관련 기능	file_manager_window.content_tabs_switcher	TBD
Entry View Management	EVM	Navigate Pages	EVM-001	CBT-W1	개발 완료	현재 Content Tab의 페이지의 탐색 흐름 제어와 관련된 기능	file_manager_window.content_pane.content_header	TBD
Entry View Management	EVM	Configure Entries View	EVM-002	CBT-W1	개발 완료	Entry 리스트의 정렬·그룹핑·필터·레이아웃을 조정해, 현재 뷰에 어떤 엔트리가 어떻게 표시될지 제어하는 관련 기능	file_manager_window.content_pane.page_container	TBD
Entry View Management	EVM	Split Content Pane	EVM-003	CBT-NEXT	드래프트	Content Pane 영역을 여러 Pane으로 분할해 동시에 여러 위치를 탐색하거나 비교하는 기능	file_manager_window.content_pane	TBD
Entry Actions	EAC	Execute Entry	EAC-001	CBT-W1	개발 완료	선택한 Entry를 열기·실행하거나 연결된 앱/위치로 연동하는 등 Entry에 대한 직접 실행 액션과 관련된 기능	file_manager_window.content_pane.page_container	TBD
