order	category_title	category_key	description
1	File Manager Window	FMW	파일 관리자 창에 대한 직접적인 조작∙관리 기능 묶음
2	Entry View Management	EVM	현재 페이지 상 엔트리를 어떤 형태의 레이아웃, 그룹, 정렬로 보여줄지 제어하는 기능 묶음
3	Entry Operations	EOP	실행, 배치, 생명주기, 참조 복사 등 엔트리에 대한 파일 시스템 작업을 수행하는 기능 묶음
4	Entry Indexing	EIX	엔트리 시스템 속성을 비롯한 여러 속성을 추출해 검색 등에 사용할 시스템을 구축하는 백그라운드 기능 묶음
5	Retrieval Collection	RCL	엔트리 프로퍼티 기반 필터로 동일 조건을 만족하는 엔트리 집합을 논리적으로 구성하는 기능 묶음
6	Custom Entry Properties	CEP	엔트리 프로퍼티 스키마를 정의·편집·삭제하여 구조와 분류 체계를 설계∙유지하는 기능 묶음
7	Chat-based Workflows	CBW	사용자가 채팅을 작업 진입점으로 삼아 현재 맥락을 바탕으로 질의, 탐색, 계획, 실행 검토, 결과 확인까지 이어가는 기능 묶음
8	Content Tab Management	CTM	하나의 파일 관리자 창 안에서 페이지 세션을 담고 있는 콘텐츠 탭과 관련한 기능 묶음
9	User Settings	SET	앱 전반의 동작 방식과 사용자 선호를 설정하는 기능 묶음
10	Command Palette	CMP	파일 관리자 창 내부 키보드 단축키로 호출하는 전역 명령 모달을 띄워 커맨드를 빠르게 호출하는 기능 묶음
11	Onboard	ONB	첫 실행 시 기본 개념, 권한 설정, 초기 구성을 빠르게 마칠 수 있도록 돕는 온보딩 기능 묶음
12	Entry Automation	EAU	콜렉션에 대한 파일 조작 작업을 자동으로 수행하고 관리하는 기능 묶음
13	Entry Relations	ERL	엔트리 등 오브젝트 간 관계를 정의하고, 그래프
14	AI Tool Integration	ATI	TBD
15	User Profile	UPR	TBD
16	External Storage Integration	ESI	클라우드∙네트워크 스토리지 등 외부 스토리지의 엔트리를 연동하여 제어하는 기능 묶음
17	Modern File Browsing	MFB	현대적 브라우저가 가진 탐색 패턴·플로우를 다뤄 파일 브라우저 경험의 전반적 향상을 위한 기능 묶음
18	Augmented Context Menu	ACM	엔트리 기반의 문맥을 분석해, 상황에 따라 AI 추천 액션과 고급 명령을 제공하는 확장형 콘텍스트 메뉴 기능 묶음
