interaction_title	interaction_id	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut
Quit Voyager	FMW-001-quit_voyager	command	Control File Manager Window	FMW	FMW-001	배포 완료	앱을 종료	file_manager_window	voyager_menu	⌘Q
Open New File Manager Window	FMW-001-open_new_file_manager_window	command	Control File Manager Window	FMW	FMW-001	배포 완료	현재 사용 중인 데스크탑에서 새 File Manager 창을 생성해 새로운 세션을 시작	file_manager_window	file_menu	⌘N
Close File Manager Window	FMW-001-close_file_manager_window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 닫음	file_manager_window	file_menu	⌘⇧W
Enter Full Screen for File Manager Window	FMW-001-enter_full_screen_for_file_manager_window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 전체 화면으로 전환	file_manager_window	view_menu	⌘⌃F
Exit Full Screen for File Manager Window	FMW-001-exit_full_screen_for_file_manager_window	command	Control File Manager Window	FMW	FMW-001	배포 완료	전체 화면 모드의 해당 File Manager 창을 원래 창 크기로 되돌림	file_manager_window	view_menu	⌘⌃F; ESC
Minimize File Manager Window	FMW-001-minimize_file_manager_window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 macOS Dock으로 최소화	file_manager_window	window_menu	⌘M
Keep File Manager Window on Top	FMW-001-keep_file_manager_window_on_top	command	Control File Manager Window	FMW	FMW-001	준비 완료	File Manager 창을 다른 앱보다 항상 위로 고정	file_manager_window	window_menu	-
Adjust File Manager Window Size	FMW-001-adjust_file_manager_window_size	input	Control File Manager Window	FMW	FMW-001	배포 완료	File Manager 창의 Width/Hegith를 최소-최대 범위 내에서 조정	file_manager_window	-	-
Show Sidebar	FMW-002-show_sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar를 File Manager의 좌측 영역에 고정되게 표시	file_manager_window.sidebar	view_menu	⌘⌃S
Hide Sidebar	FMW-002-hide_sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar를 File Manager에서 보이지 않게 숨김	file_manager_window.sidebar	view_menu	⌘⌃S
Adjust Sidebar Width	FMW-002-adjust_sidebar_width	input	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar의 Width를 최소-최대 범위 내에서 조정	file_manager_window.sidebar	-	-
Draw Hidden Sidebar	FMW-002-draw_hidden_sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	숨겨진 Sidebar를 File Manager의 좌측 영역에 일시적으로 표시	file_manager_window.sidebar	-	-
Show Inspector Pane	FMW-002-show_inspector_pane	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane을 File Manager의 우측 영역에 고정되게 표시	file_manager_window.inspector_pane	view_menu	-
Hide Inspector Pane	FMW-002-hide_inspector_pane	command	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane을 File Manage에서 보이지 않게 숨김	file_manager_window.inspector_pane	view_menu	-
Adjust Inspector Pane Width	FMW-002-adjust_inspector_pane_width	input	Manage File Manager Window Panes	FMW	FMW-002	기획 완료	Inspector Pane의 Width를 최소-최대 범위 내에서 조정	file_manager_window.inspector_pane	-	-
Navigate Pages	EVM-001-navigate_pages	command	Navigate Pages	EVM	EVM-001	배포 완료	Content Pane에서 Entry 클릭하거나 선택해 현재 Content Tab Page를 새 Page로 전환	file_manager_window.content_pane	-	-
Go Page History Back	EVM-001-go_page_history_back	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab Page History 상 이전 Page로 전환	file_manager_window.content_pane.content_header	go_menu	⌘[
Forward Page History	EVM-001-forward_page_history	command	Navigate Pages	EVM	EVM-001	배포 완료	현재 Content Tab Page History 상 다음 Page로 전환	file_manager_window.content_pane.content_header	go_menu	⌘]
