interaction_title	interaction_type	feature	category_key	feature_id	status	summary	related_region	menu	shortcut	preconditions	edge_cases	acceptance_criteria
Quit Voyager	command	Control File Manager Window	FMW	FMW-001	배포 완료	앱을 종료	file_manager_window	Voyager	⌘Q	- 앱 활성 상태	-	-
Open New File Manager Window	command	Control File Manager Window	FMW	FMW-001	배포 완료	현재 사용 중인 데스크탑에서 새 File Manager 창을 생성해 새로운 세션을 시작	file_manager_window	File	⌘N	- 앱 활성 상태	- 사용 가능한 메모리가 부족한 상태에서 호출되는 경우	- 앱이 활성 상태일 때, 사용자가 해당 인터랙션을 호출하면, 현재 데스크탑에 새 File Manager Window가 하나 생성되고 활성 창으로 전환됨 - 시스템 메모리 또는 리소스 부족으로 새 창을 생성할 수 없는 상태일 때, 사용자가 해당 인터랙션을 호출하면, 새 창이 생성되지 않음
Close File Manager Window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 닫음	file_manager_window	File	⌘⇧W	- 닫을 File Manager Window가 활성 상태	- 창에서 진행 중인 작업이 있는 상태의 작업이 있는 경우  - 같은 창에 대해 호출이 중복으로 되는 경우	- 닫을 File Manager Window가 활성 상태일 때, 저장되지 않은 변경사항이 없다면, 대상 창이 즉시 닫히고 관련 리소스가 정리됨 - 닫을 File Manager Window가 활성 상태일 때,  저장되지 않은 변경 사항이 있다면, 닫기 여부를 묻는 확인 대화를 표시하고 사용자가 닫기를 선택하면 창이 닫히고 관련 리소스가 정리됨 - File Manager Window가 이미 닫힘 처리 중인 상태일 때, 사용자가 해당 인터랙션을 추가로 호출하면, 중복 종료 동작을 새로 실행하지 않고 기존 종료 흐름만 유지함
Enter Full Screen for File Manager Window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 전체 화면으로 전환	file_manager_window	View	⌘⌃F	- 대상 창이 전체 화면이 아닌 상태	-	- 대상 File Manager Window가 전체 화면이 아닌 상태일 때, 사용자가 해당 인터랙션을 호출하면, 대상 창이 macOS 전체 화면 모드로 전환됨
Exit Full Screen for File Manager Window	command	Control File Manager Window	FMW	FMW-001	배포 완료	전체 화면 모드의 해당 File Manager 창을 원래 창 크기로 되돌림	file_manager_window	View	⌘⌃F; ESC	- 대상 창이 전체 화면 상태	- 이전 창 위치/크기를 복원하기 위한 저장된 정보가 디스플레이 구성 변경 등으로 인해 유효하지 않은 경우	- 대상 File Manager Window가 전체 화면 상태일 때, 사용자가 해당 인터랙션을 호출하면, 전체 화면 모드가 해제되고 가능한 범위에서 직전 창 위치와 크기로 복원됨 - 이전 창 위치·크기 정보가 현재 디스플레이 구성과 맞지 않는 경우, 사용자가 해당 인터랙션을 호출하면, 전체 화면이 해제되고 현재 디스플레이에 적절한 합리적인 위치와 크기로 창이 복원됨
Minimize File Manager Window	command	Control File Manager Window	FMW	FMW-001	배포 완료	해당 File Manager 창을 macOS Dock으로 최소화	file_manager_window	Window	⌘M	- 대상 창이 최소화되지 않은 상태	-	- 대상 File Manager Window가 일반 창 상태일 때, 사용자가 해당 인터랙션을 호출하면, 대상 창이 Dock으로 최소화되며 다른 활성 창으로 전환됨
Keep File Manager Window on Top	command	Control File Manager Window	FMW	FMW-001	준비 완료	File Manager 창을 다른 앱보다 항상 위로 고정	file_manager_window	Window	-	-	-	- 대상 File Manager Window가 일반 창 상태일 때, 사용자가 해당 인터랙션을 호출하면, 해당 창이 “항상 위” 상태로 전환되어 다른 일반 창보다 위에 유지됨 - 대상 File Manager Window이 이미 "항상 위" 상태 일 떄, 사용자가 해당 인터랙션을 다시 호출하면, 해당 창은 일반 창 상태로 전환됨
Adjust File Manager Window Size	input	Control File Manager Window	FMW	FMW-001	배포 완료	File Manager 창의 Width/Hegith를 최소-최대 범위 내에서 조정	file_manager_window	-	-	-	- 사용자가 창 크기를 최소 허용 크기보다 더 작게 드래그하려는 경우 - 사용자가 창 크기를 최대 허용 크기보다 더 크게 드래그하려는 경우	- 사용자가 해당 File Manager Window의 Size를 줄이려고 할 때, 최소 너비와 높이 이하로 줄이려고 하는 경우, 창 크기는 최소값에서 멈추고 더 작게 줄어들지 않음 - 사용자가 해당 File Manager Window의 Size를 늘리려고 할 때, 현재 위치한 데크스탑의 너비와 높이 이상 늘이려고 하는 경우, 창 크기는 데스크탑의 가장자리에서 멈추고 더 이상 늘지 않음  - Sidebar가 표시 상태일 때, Content Pane의 너비가 Sidebar의 너비에 도달하는 경우, Hide Sidebar 인터랙션을 호출함 
Show Sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar를 File Manager의 좌측 영역에 고정되게 표시	file_manager_window.sidebar	View	⌘⌃S	- Sidebar가 숨김 상태	- 현재 창 너비가 표시되는 Sidebar의 설정된 너비보다 작은 경우	- Sidebar가 숨김 상태이고 창 너비가 Sidebar를 표시하기에 충분할 때, 사용자가 해당 인터랙션을 호출하면, Sidebar가 File Manager 좌측 영역에 기본 너비로 고정되어 표시됨 - 창 너비가 Sidebar 최소 너비보다 작은 상태일 때, 사용자가 해당 인터랙션을 호출하면, Sidebar의 최소 너비만큼 Window의 너비를 늘림
Hide Sidebar	command	Manage File Manager Window Panes	FMW	FMW-002	배포 완료	Sidebar를 File Manager에서 보이지 않게 숨김	file_manager_window.sidebar	View	⌘⌃S	- Sidebar가 표시 상태	- 사용자가 Sidebar 내부 요소와 인터랙션 중 호출되는 경우	- Sidebar가 표시 상태일 때, 사용자가 해당 인터랙션을 호출하면, Sidebar가 숨김 상태로 전환되고 Content Pane이 좌측으로 확장됨 - 사용자가 Sidebar 내부 요소와 인터랙션 중일 때, 사용자가 해당 인터랙션을 호출하면, 현재 상호작용을 안전하게 종료한 뒤 후속 처리를 함 
